Name ,Region,2005x,2005y,2010x,2010y,2015x,2015y,2004tts,2010tts,2010r,2015tts,2015r
Southern Asia,34,1.366666667,30.46904357,1.688888889,32.34643562,1.988888889,36.45224534,149.1111111,209.7777778,73.17306758,254.3333333,17.04121422
Southern Europe,39,6.925,92.785744,6.308333333,76.813326,5.916666667,64.447672,64.58333333,104.1666667,72.74529546,168.8333333,45.00569041
Northern Africa,15,3.1,36.70467333,3.4,49.56998667,3.283333333,48.61885,43.66666667,102.3333333,129.1688625,115.1666667,13.40293883
Sub-Saharan Africa,202,1.079591837,31.31659426,1.057142857,33.00658294,1.128571429,32.71651722,115.2857143,149.6530612,64.77934599,189.8163265,23.96069433
Latin America and the Carribean,419,4.870731707,51.72628467,5.43902439,49.94979096,4.890243902,51.30135692,181.9285714,215.9761905,83.027799,249.1428571,28.39979818
Western Asia,145,12.22777778,109.2337165,10.56111111,103.26938,10.93333333,101.4179297,35.83333333,75.05555556,120.1495389,106.8888889,47.16264778
Austrailia and New Zealand,53,12.75,200.12724,12.45,175.63503,11.5,175.35083,385,503,20.02183099,553,17.66161721
Wetern Europe,155,11.02857143,106.09052,9.0375,102.2219371,7.675,100.5326943,50.25,54,-15.48811488,72.875,44.36371792
Northern America,21,13.36,175.88953,13.08,148.76213,12.34,141.58506,33.2,259.4,748.6465463,296.8,32.63260281
Melanesia,54,2.96,50.7791201,3.48,43.294685,3.92,44.055765,152.2,280.2,143.318791,324.8,18.10211397
South-eastern Asia,35,3.263636364,52.14805091,4.490909091,68.04849273,4.636363636,71.88097818,297.8181818,451.8181818,72.87883196,516,19.435415
Eastern Europe,151,7.511111111,84.11732,7.255555556,81.25456889,6.633333333,91.6973,57.88888889,53.77777778,-5.379188665,78.11111111,39.64479541
Eastern Asia,30,5.857142857,72.109668,5.657142857,85.503604,6.6,91.783984,165.7142857,199.8571429,29.22789534,236,16.83888114
Polynesia,61,2.016666667,25.55327,2.133333333,50.29187,2.616666667,60.98196,64.33333333,77.66666667,155.5877947,91.66666667,20.87994334
Northern Europe,154,8.709090909,121.994656,8.654545455,102.776306,7.563636364,106.503974,25.81818182,26.54545455,1.166310194,33.27272727,28.36639141
Micronesia,57,5.4,15.98113333,4.8,16.84281333,4.925,17.78943333,12.5,94,788.4648685,113,17.64892683
Central Asia,143,5.58,58.87536316,6.38,67.536944,6.62,74.699712,70.4,49.6,37.94671319,52.6,5.747640791
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
